model,activation,optimizer,seq_len,grad_clipping,accuracy,f1,epoch_time_sec
lstm,sigmoid,rmsprop,25,False,0.7042,0.6998,2.6838
lstm,sigmoid,rmsprop,25,True,0.6216,0.6127,2.9276
lstm,sigmoid,rmsprop,50,False,0.7422,0.7372,2.691
lstm,sigmoid,rmsprop,50,True,0.7336,0.7336,2.8646
lstm,sigmoid,rmsprop,100,False,0.7413,0.7286,2.7127
lstm,sigmoid,rmsprop,100,True,0.6679,0.6379,2.9701
bilstm,relu,adam,25,False,0.7249,0.7248,3.4893
bilstm,relu,adam,25,True,0.7233,0.723,3.6696
bilstm,relu,adam,50,False,0.764,0.7625,3.4419
bilstm,relu,adam,50,True,0.753,0.7488,3.6704
bilstm,relu,adam,100,False,0.8038,0.8036,3.4892
bilstm,relu,adam,100,True,0.8031,0.8015,3.8317
bilstm,relu,sgd,25,False,0.5174,0.5062,3.0076
bilstm,relu,sgd,25,True,0.497,0.4765,3.3187
bilstm,relu,sgd,50,False,0.499,0.4462,3.0818
bilstm,relu,sgd,50,True,0.5161,0.4913,3.3259
bilstm,relu,sgd,100,False,0.5106,0.5103,3.295
bilstm,relu,sgd,100,True,0.5021,0.4959,3.442
bilstm,relu,rmsprop,25,False,0.499,0.3329,3.4049
bilstm,relu,rmsprop,25,True,0.6789,0.6724,3.5447
bilstm,relu,rmsprop,50,False,0.4987,0.333,3.4098
bilstm,relu,rmsprop,50,True,0.501,0.3338,3.5586
bilstm,relu,rmsprop,100,False,0.5008,0.3342,3.5068
bilstm,relu,rmsprop,100,True,0.6874,0.6667,3.6944
bilstm,tanh,adam,25,False,0.7213,0.7212,3.3199
bilstm,tanh,adam,25,True,0.7176,0.7174,3.6525
bilstm,tanh,adam,50,False,0.7714,0.7704,3.2822
bilstm,tanh,adam,50,True,0.762,0.7595,3.6808
bilstm,tanh,adam,100,False,0.7967,0.7952,3.3888
bilstm,tanh,adam,100,True,0.7502,0.7391,3.8348
bilstm,tanh,sgd,25,False,0.5038,0.4632,3.0013
bilstm,tanh,sgd,25,True,0.5112,0.4322,3.414
bilstm,tanh,sgd,50,False,0.5115,0.5109,3.0238
bilstm,tanh,sgd,50,True,0.5239,0.5086,3.3403
bilstm,tanh,sgd,100,False,0.5175,0.5129,3.2983
bilstm,tanh,sgd,100,True,0.511,0.4895,3.4945
bilstm,tanh,rmsprop,25,False,0.6177,0.6035,3.3755
bilstm,tanh,rmsprop,25,True,0.6562,0.6428,3.5375
bilstm,tanh,rmsprop,50,False,0.6339,0.6179,3.3858
bilstm,tanh,rmsprop,50,True,0.703,0.6963,3.5432
bilstm,tanh,rmsprop,100,False,0.6554,0.6443,3.5124
bilstm,tanh,rmsprop,100,True,0.741,0.741,3.7276
bilstm,sigmoid,adam,25,False,0.7184,0.7179,3.2805
bilstm,sigmoid,adam,25,True,0.7167,0.715,3.7295
bilstm,sigmoid,adam,50,False,0.7656,0.7648,3.2626
bilstm,sigmoid,adam,50,True,0.7635,0.7613,3.69
bilstm,sigmoid,adam,100,False,0.7974,0.7971,3.4049
bilstm,sigmoid,adam,100,True,0.7986,0.7985,3.8202
bilstm,sigmoid,sgd,25,False,0.499,0.3329,2.9985
bilstm,sigmoid,sgd,25,True,0.499,0.3329,3.44
bilstm,sigmoid,sgd,50,False,0.501,0.3338,3.0346
bilstm,sigmoid,sgd,50,True,0.499,0.3329,3.3216
bilstm,sigmoid,sgd,100,False,0.499,0.3329,3.269
bilstm,sigmoid,sgd,100,True,0.499,0.3329,3.4608
bilstm,sigmoid,rmsprop,25,False,0.6562,0.6483,3.3377
bilstm,sigmoid,rmsprop,25,True,0.6948,0.6912,3.5271
bilstm,sigmoid,rmsprop,50,False,0.7624,0.7621,3.3517
bilstm,sigmoid,rmsprop,50,True,0.7528,0.7524,3.5515
bilstm,sigmoid,rmsprop,100,False,0.7777,0.7775,3.448
bilstm,sigmoid,rmsprop,100,True,0.7479,0.7372,3.803
