model,activation,optimizer,seq_len,grad_clipping,accuracy,f1,epoch_time_sec,epochs,batch_size,lr,dropout,seed,device
rnn,relu,adam,25,False,0.59216,0.5756861145539889,2.5684558391571044,5,32,0.001,0.5,42,cuda
rnn,relu,adam,25,True,0.62644,0.6264011307736457,2.638872766494751,5,32,0.001,0.5,42,cuda
rnn,relu,adam,50,False,0.534,0.5313836783366338,2.312213134765625,5,32,0.001,0.5,42,cuda
rnn,relu,adam,50,True,0.60304,0.5910770904831386,2.5884758949279787,5,32,0.001,0.5,42,cuda
rnn,relu,adam,100,False,0.53424,0.5319780356182754,2.405322551727295,5,32,0.001,0.5,42,cuda
rnn,relu,adam,100,True,0.54196,0.5327334145616845,2.663063669204712,5,32,0.001,0.5,42,cuda
rnn,relu,sgd,25,False,0.50552,0.46371518269950907,2.057101583480835,5,32,0.001,0.5,42,cuda
rnn,relu,sgd,25,True,0.50444,0.5039332968330104,2.4066325664520263,5,32,0.001,0.5,42,cuda
rnn,relu,sgd,50,False,0.50152,0.49430581038290045,2.057037687301636,5,32,0.001,0.5,42,cuda
rnn,relu,sgd,50,True,0.50036,0.40347974130572084,2.331122398376465,5,32,0.001,0.5,42,cuda
rnn,relu,sgd,100,False,0.49792,0.40763661734458106,2.198710298538208,5,32,0.001,0.5,42,cuda
rnn,relu,sgd,100,True,0.51392,0.498830182543468,2.577167272567749,5,32,0.001,0.5,42,cuda
rnn,relu,rmsprop,25,False,0.49896,0.33287079041468753,2.295403337478638,5,32,0.001,0.5,42,cuda
rnn,relu,rmsprop,25,True,0.49896,0.33287079041468753,2.566431999206543,5,32,0.001,0.5,42,cuda
rnn,relu,rmsprop,50,False,0.50128,0.33461394852045806,2.307556629180908,5,32,0.001,0.5,42,cuda
rnn,relu,rmsprop,50,True,0.50104,0.3337952353035229,2.5519891738891602,5,32,0.001,0.5,42,cuda
rnn,relu,rmsprop,100,False,0.50104,0.3337952353035229,2.4181769371032713,5,32,0.001,0.5,42,cuda
rnn,relu,rmsprop,100,True,0.49896,0.33287079041468753,2.649145412445068,5,32,0.001,0.5,42,cuda
rnn,tanh,adam,25,False,0.61224,0.606689029212448,2.320274496078491,5,32,0.001,0.5,42,cuda
